file miF_event maF_event weighted_maF_events
test1_unlab_g10_k1_p2_r100_c1000.txt 28.378 10.874 19.446
test1_unlab_g10_k1_p2_r100_c10000.txt 28.378 10.874 19.446
test1_unlab_g10_k1_p2_r100_c100000.txt 28.378 10.874 19.446
test1_unlab_g10_k10_p2_r100_c1.txt 28.378 10.874 19.446
test1_unlab_g10_k10_p2_r100_c10.txt 28.378 10.874 19.446
test1_unlab_g10_k10_p2_r100_c100.txt 41.892 24.701 30.367
test1_unlab_g10_k10_p2_r100_c1000.txt 41.892 24.701 30.367
test1_unlab_g10_k10_p2_r100_c10000.txt 41.892 24.701 30.367
test1_unlab_g10_k10_p2_r100_c100000.txt 41.892 24.701 30.367
test1_unlab_g10_k100_p2_r100_c1.txt 31.081 7.904 14.739
test1_unlab_g10_k100_p2_r100_c10.txt 31.081 7.904 14.739
test1_unlab_g10_k100_p2_r100_c100.txt 39.189 20.172 26.597
test1_unlab_g10_k100_p2_r100_c1000.txt 39.189 20.172 26.597
test1_unlab_g10_k100_p2_r100_c10000.txt 39.189 20.172 26.597
test1_unlab_g10_k100_p2_r100_c100000.txt 39.189 20.172 26.597
summary max_miF_event max_maF_event max_maF_weiEvent 
 hi 52.703 58.201 49.622
