file miF_frames maF_frames weighted_maF_frames 
test1_unlab_g0.01_k0.1_p2_r100_c1.txt 11.965 6.422 4.260
test1_unlab_g0.01_k0.1_p2_r100_c10.txt 11.965 6.422 4.260
test1_unlab_g0.01_k0.1_p2_r100_c100.txt 11.965 6.422 4.260
test1_unlab_g0.01_k0.1_p2_r100_c1000.txt 45.331 47.778 51.017
test1_unlab_g0.01_k0.1_p2_r100_c10000.txt 46.498 45.005 51.151
test1_unlab_g0.01_k0.1_p2_r100_c100000.txt 46.498 45.005 51.151
test1_unlab_g0.01_k1_p2_r100_c1.txt 11.965 6.456 4.272
test1_unlab_g0.01_k1_p2_r100_c10.txt 11.965 6.456 4.272
test1_unlab_g0.01_k1_p2_r100_c100.txt 41.148 50.409 37.685
test1_unlab_g0.01_k1_p2_r100_c1000.txt 44.844 53.491 46.303
test1_unlab_g0.01_k1_p2_r100_c10000.txt 44.844 53.491 46.303
test1_unlab_g0.01_k1_p2_r100_c100000.txt 44.844 53.491 46.303
test1_unlab_g0.01_k10_p2_r100_c1.txt 12.938 7.731 5.079
test1_unlab_g0.01_k10_p2_r100_c10.txt 12.938 7.731 5.079
test1_unlab_g0.01_k10_p2_r100_c100.txt 42.121 50.985 38.215
test1_unlab_g0.01_k10_p2_r100_c1000.txt 41.051 50.118 37.659
test1_unlab_g0.01_k10_p2_r100_c10000.txt 41.051 50.118 37.659
test1_unlab_g0.01_k10_p2_r100_c100000.txt 41.051 50.118 37.659
test1_unlab_g0.01_k100_p2_r100_c1.txt 11.576 6.354 4.244
test1_unlab_g0.01_k100_p2_r100_c10.txt 17.899 12.677 14.746
test1_unlab_g0.01_k100_p2_r100_c100.txt 17.899 12.677 14.746
test1_unlab_g0.01_k100_p2_r100_c1000.txt 17.899 12.753 14.799
test1_unlab_g0.01_k100_p2_r100_c10000.txt 17.899 12.753 14.799
test1_unlab_g0.01_k100_p2_r100_c100000.txt 17.899 12.753 14.799
test1_unlab_g0.1_k0.1_p2_r100_c1.txt 12.938 8.004 5.255
test1_unlab_g0.1_k0.1_p2_r100_c10.txt 12.938 8.004 5.255
test1_unlab_g0.1_k0.1_p2_r100_c100.txt 27.237 19.735 24.636
test1_unlab_g0.1_k0.1_p2_r100_c1000.txt 27.529 21.349 26.697
test1_unlab_g0.1_k0.1_p2_r100_c10000.txt 27.529 21.349 26.697
test1_unlab_g0.1_k0.1_p2_r100_c100000.txt 27.529 21.349 26.697
test1_unlab_g0.1_k1_p2_r100_c1.txt 12.938 8.004 5.255
test1_unlab_g0.1_k1_p2_r100_c10.txt 12.938 8.004 5.255
test1_unlab_g0.1_k1_p2_r100_c100.txt 35.019 30.350 30.937
test1_unlab_g0.1_k1_p2_r100_c1000.txt 34.533 30.101 30.783
test1_unlab_g0.1_k1_p2_r100_c10000.txt 34.533 30.101 30.783
test1_unlab_g0.1_k1_p2_r100_c100000.txt 34.533 30.101 30.783
test1_unlab_g0.1_k10_p2_r100_c1.txt 12.160 7.122 4.710
test1_unlab_g0.1_k10_p2_r100_c10.txt 12.160 7.122 4.710
test1_unlab_g0.1_k10_p2_r100_c100.txt 31.128 34.441 29.548
test1_unlab_g0.1_k10_p2_r100_c1000.txt 31.128 34.441 29.548
test1_unlab_g0.1_k10_p2_r100_c10000.txt 31.128 34.441 29.548
test1_unlab_g0.1_k10_p2_r100_c100000.txt 31.128 34.441 29.548
test1_unlab_g0.1_k100_p2_r100_c1.txt 11.673 3.850 2.696
test1_unlab_g0.1_k100_p2_r100_c10.txt 11.673 3.850 2.696
test1_unlab_g0.1_k100_p2_r100_c100.txt 11.673 3.850 2.696
test1_unlab_g0.1_k100_p2_r100_c1000.txt 11.673 3.850 2.696
test1_unlab_g0.1_k100_p2_r100_c10000.txt 11.673 3.850 2.696
test1_unlab_g0.1_k100_p2_r100_c100000.txt 11.673 3.850 2.696
test1_unlab_g1_k0.1_p2_r100_c1.txt 11.673 3.693 2.587
test1_unlab_g1_k0.1_p2_r100_c10.txt 11.673 3.693 2.587
test1_unlab_g1_k0.1_p2_r100_c100.txt 11.673 3.693 2.587
test1_unlab_g1_k0.1_p2_r100_c1000.txt 11.673 3.895 2.728
test1_unlab_g1_k0.1_p2_r100_c10000.txt 11.673 3.895 2.728
test1_unlab_g1_k0.1_p2_r100_c100000.txt 11.673 3.895 2.728
test1_unlab_g1_k1_p2_r100_c1.txt 10.603 8.373 5.431
test1_unlab_g1_k1_p2_r100_c10.txt 10.603 8.373 5.431
