file miF_frames maF_frames weighted_maF_frames 
test1_unlab_g0.1_k1_p2_r100_c10000.txt 32.701 33.609 33.533
test1_unlab_g0.1_k1_p2_r100_c100000.txt 32.701 33.609 33.533
test1_unlab_g0.1_k10_p2_r100_c1.txt 15.266 8.271 5.953
test1_unlab_g0.1_k10_p2_r100_c10.txt 24.571 23.472 19.616
test1_unlab_g0.1_k10_p2_r100_c100.txt 30.894 31.463 32.418
test1_unlab_g0.1_k10_p2_r100_c1000.txt 31.165 31.894 32.849
test1_unlab_g0.1_k10_p2_r100_c10000.txt 31.165 31.894 32.849
test1_unlab_g0.1_k10_p2_r100_c100000.txt 31.165 31.894 32.849
test1_unlab_g0.1_k100_p2_r100_c1.txt 9.756 2.963 1.734
test1_unlab_g0.1_k100_p2_r100_c10.txt 34.959 18.221 23.296
test1_unlab_g0.1_k100_p2_r100_c100.txt 34.959 18.221 23.296
test1_unlab_g0.1_k100_p2_r100_c1000.txt 34.959 18.221 23.296
test1_unlab_g0.1_k100_p2_r100_c10000.txt 34.959 18.221 23.296
test1_unlab_g0.1_k100_p2_r100_c100000.txt 34.959 18.221 23.296
test1_unlab_g1_k0.1_p2_r100_c1.txt 15.537 7.596 5.797
test1_unlab_g1_k0.1_p2_r100_c10.txt 15.537 7.596 5.797
test1_unlab_g1_k0.1_p2_r100_c100.txt 15.176 7.502 5.701
test1_unlab_g1_k0.1_p2_r100_c1000.txt 9.846 8.133 8.445
test1_unlab_g1_k0.1_p2_r100_c10000.txt 9.846 8.133 8.445
test1_unlab_g1_k0.1_p2_r100_c100000.txt 9.846 8.133 8.445
test1_unlab_g1_k1_p2_r100_c1.txt 15.176 7.070 5.551
test1_unlab_g1_k1_p2_r100_c10.txt 15.176 7.070 5.551
test1_unlab_g1_k1_p2_r100_c100.txt 14.634 12.150 6.276
test1_unlab_g1_k1_p2_r100_c1000.txt 14.634 11.890 6.271
test1_unlab_g1_k1_p2_r100_c10000.txt 14.634 11.890 6.271
test1_unlab_g1_k1_p2_r100_c100000.txt 14.634 11.890 6.271
test1_unlab_g1_k10_p2_r100_c1.txt 7.588 3.666 2.606
test1_unlab_g1_k10_p2_r100_c10.txt 10.027 9.034 3.874
test1_unlab_g1_k10_p2_r100_c100.txt 19.241 21.305 18.328
test1_unlab_g1_k10_p2_r100_c1000.txt 19.241 20.749 17.827
test1_unlab_g1_k10_p2_r100_c10000.txt 19.241 20.749 17.827
test1_unlab_g1_k10_p2_r100_c100000.txt 19.241 20.749 17.827
test1_unlab_g1_k100_p2_r100_c1.txt 27.552 7.200 11.903
test1_unlab_g1_k100_p2_r100_c10.txt 27.552 7.200 11.903
test1_unlab_g1_k100_p2_r100_c100.txt 27.552 7.200 11.903
test1_unlab_g1_k100_p2_r100_c1000.txt 27.552 7.200 11.903
test1_unlab_g1_k100_p2_r100_c10000.txt 27.552 7.200 11.903
test1_unlab_g1_k100_p2_r100_c100000.txt 27.552 7.200 11.903
test1_unlab_g10_k0.1_p2_r100_c1.txt 9.756 2.963 1.734
test1_unlab_g10_k0.1_p2_r100_c10.txt 9.756 2.963 1.734
test1_unlab_g10_k0.1_p2_r100_c100.txt 9.756 2.963 1.734
test1_unlab_g10_k0.1_p2_r100_c1000.txt 3.613 1.162 0.252
test1_unlab_g10_k0.1_p2_r100_c10000.txt 3.613 1.162 0.252
test1_unlab_g10_k0.1_p2_r100_c100000.txt 3.613 1.162 0.252
test1_unlab_g10_k1_p2_r100_c1.txt 9.124 8.540 7.344
test1_unlab_g10_k1_p2_r100_c10.txt 9.124 8.540 7.344
test1_unlab_g10_k1_p2_r100_c100.txt 9.124 8.563 7.358
test1_unlab_g10_k1_p2_r100_c1000.txt 12.556 11.435 8.387
test1_unlab_g10_k1_p2_r100_c10000.txt 12.556 11.435 8.387
test1_unlab_g10_k1_p2_r100_c100000.txt 12.556 11.435 8.387
test1_unlab_g10_k10_p2_r100_c1.txt 9.846 4.001 2.685
test1_unlab_g10_k10_p2_r100_c10.txt 12.737 8.804 9.187
test1_unlab_g10_k10_p2_r100_c100.txt 17.886 20.477 19.264
test1_unlab_g10_k10_p2_r100_c1000.txt 17.886 20.477 19.264
test1_unlab_g10_k10_p2_r100_c10000.txt 17.886 20.477 19.264
test1_unlab_g10_k10_p2_r100_c100000.txt 17.886 20.477 19.264
test1_unlab_g10_k100_p2_r100_c1.txt 37.940 26.567 36.282
test1_unlab_g10_k100_p2_r100_c10.txt 37.940 26.567 36.282
test1_unlab_g10_k100_p2_r100_c100.txt 37.940 26.567 36.282
test1_unlab_g10_k100_p2_r100_c1000.txt 37.940 26.567 36.282
test1_unlab_g10_k100_p2_r100_c10000.txt 37.940 26.567 36.282
test1_unlab_g10_k100_p2_r100_c100000.txt 37.940 26.567 36.282
summary max_miF_frame max_maF_frame max_maF_weiFrame 
 hi 37.940 45.451 37.766
