file miF_frames maF_frames weighted_maF_frames 
test1_unlab_g0.01_k0.1_p2_r100_c1.txt 14.905 8.415 6.097
test1_unlab_g0.01_k0.1_p2_r100_c10.txt 14.905 8.415 6.097
test1_unlab_g0.01_k0.1_p2_r100_c100.txt 14.905 8.415 6.097
test1_unlab_g0.01_k0.1_p2_r100_c1000.txt 35.501 33.544 37.766
test1_unlab_g0.01_k0.1_p2_r100_c10000.txt 33.514 32.105 35.632
test1_unlab_g0.01_k0.1_p2_r100_c100000.txt 33.514 32.105 35.632
test1_unlab_g0.01_k1_p2_r100_c1.txt 15.628 11.707 7.882
test1_unlab_g0.01_k1_p2_r100_c10.txt 15.628 11.707 7.882
test1_unlab_g0.01_k1_p2_r100_c100.txt 23.668 26.896 18.119
test1_unlab_g0.01_k1_p2_r100_c1000.txt 29.088 32.237 30.629
test1_unlab_g0.01_k1_p2_r100_c10000.txt 29.088 32.237 30.629
test1_unlab_g0.01_k1_p2_r100_c100000.txt 29.088 32.237 30.629
test1_unlab_g0.01_k10_p2_r100_c1.txt 14.724 8.154 6.205
test1_unlab_g0.01_k10_p2_r100_c10.txt 14.724 8.154 6.205
test1_unlab_g0.01_k10_p2_r100_c100.txt 31.256 44.613 34.213
test1_unlab_g0.01_k10_p2_r100_c1000.txt 31.978 45.451 34.941
test1_unlab_g0.01_k10_p2_r100_c10000.txt 31.978 45.451 34.941
test1_unlab_g0.01_k10_p2_r100_c100000.txt 31.978 45.451 34.941
test1_unlab_g0.01_k100_p2_r100_c1.txt 15.086 8.105 5.930
test1_unlab_g0.01_k100_p2_r100_c10.txt 29.991 21.604 31.283
test1_unlab_g0.01_k100_p2_r100_c100.txt 33.062 35.845 35.468
test1_unlab_g0.01_k100_p2_r100_c1000.txt 33.062 35.845 35.468
test1_unlab_g0.01_k100_p2_r100_c10000.txt 33.062 35.845 35.468
test1_unlab_g0.01_k100_p2_r100_c100000.txt 33.062 35.845 35.468
test1_unlab_g0.1_k0.1_p2_r100_c1.txt 16.350 9.138 7.048
test1_unlab_g0.1_k0.1_p2_r100_c10.txt 16.350 9.138 7.048
test1_unlab_g0.1_k0.1_p2_r100_c100.txt 26.829 26.697 21.448
test1_unlab_g0.1_k0.1_p2_r100_c1000.txt 30.352 30.917 31.935
test1_unlab_g0.1_k0.1_p2_r100_c10000.txt 30.352 30.917 31.935
test1_unlab_g0.1_k0.1_p2_r100_c100000.txt 30.352 30.917 31.935
test1_unlab_g0.1_k1_p2_r100_c1.txt 18.248 9.745 7.205
test1_unlab_g0.1_k1_p2_r100_c10.txt 18.248 9.745 7.205
test1_unlab_g0.1_k1_p2_r100_c100.txt 32.701 33.578 33.581
test1_unlab_g0.1_k1_p2_r100_c1000.txt 32.701 33.609 33.533
