file miF_frames maF_frames weighted_maF_frames 
test1_unlab_g0.01_k0.1_p2_r100_c1.txt 10.833 3.258 2.118
test1_unlab_g0.01_k0.1_p2_r100_c10.txt 10.833 3.258 2.118
test1_unlab_g0.01_k0.1_p2_r100_c100.txt 21.296 12.006 17.986
test1_unlab_g0.01_k0.1_p2_r100_c1000.txt 54.537 47.899 59.426
test1_unlab_g0.01_k0.1_p2_r100_c10000.txt 54.537 47.899 59.426
test1_unlab_g0.01_k0.1_p2_r100_c100000.txt 54.537 47.899 59.426
test1_unlab_g0.01_k1_p2_r100_c1.txt 11.389 5.192 3.207
test1_unlab_g0.01_k1_p2_r100_c10.txt 11.389 5.192 3.207
test1_unlab_g0.01_k1_p2_r100_c100.txt 41.204 35.163 35.778
test1_unlab_g0.01_k1_p2_r100_c1000.txt 62.778 45.127 64.589
test1_unlab_g0.01_k1_p2_r100_c10000.txt 62.778 45.127 64.589
test1_unlab_g0.01_k1_p2_r100_c100000.txt 62.778 45.127 64.589
test1_unlab_g0.01_k10_p2_r100_c1.txt 9.167 4.232 2.649
test1_unlab_g0.01_k10_p2_r100_c10.txt 9.167 4.232 2.649
test1_unlab_g0.01_k10_p2_r100_c100.txt 60.000 56.869 65.188
test1_unlab_g0.01_k10_p2_r100_c1000.txt 60.000 56.869 65.188
test1_unlab_g0.01_k10_p2_r100_c10000.txt 60.000 56.869 65.188
test1_unlab_g0.01_k10_p2_r100_c100000.txt 60.000 56.869 65.188
test1_unlab_g0.01_k100_p2_r100_c1.txt 10.093 5.184 3.142
test1_unlab_g0.01_k100_p2_r100_c10.txt 10.093 5.184 3.142
test1_unlab_g0.01_k100_p2_r100_c100.txt 39.907 23.471 44.066
test1_unlab_g0.01_k100_p2_r100_c1000.txt 39.907 23.471 44.066
test1_unlab_g0.01_k100_p2_r100_c10000.txt 39.907 23.471 44.066
test1_unlab_g0.01_k100_p2_r100_c100000.txt 39.907 23.471 44.066
test1_unlab_g0.1_k0.1_p2_r100_c1.txt 10.833 4.946 3.114
test1_unlab_g0.1_k0.1_p2_r100_c10.txt 10.833 4.946 3.114
test1_unlab_g0.1_k0.1_p2_r100_c100.txt 27.037 16.869 24.667
test1_unlab_g0.1_k0.1_p2_r100_c1000.txt 51.204 30.307 55.587
test1_unlab_g0.1_k0.1_p2_r100_c10000.txt 51.204 30.307 55.587
test1_unlab_g0.1_k0.1_p2_r100_c100000.txt 51.204 30.307 55.587
test1_unlab_g0.1_k1_p2_r100_c1.txt 9.722 5.605 3.324
test1_unlab_g0.1_k1_p2_r100_c10.txt 9.722 5.605 3.324
test1_unlab_g0.1_k1_p2_r100_c100.txt 40.093 33.685 35.224
test1_unlab_g0.1_k1_p2_r100_c1000.txt 44.259 36.957 44.318
test1_unlab_g0.1_k1_p2_r100_c10000.txt 44.259 36.957 44.318
test1_unlab_g0.1_k1_p2_r100_c100000.txt 44.259 36.957 44.318
test1_unlab_g0.1_k10_p2_r100_c1.txt 9.167 5.326 3.221
test1_unlab_g0.1_k10_p2_r100_c10.txt 9.167 5.326 3.221
test1_unlab_g0.1_k10_p2_r100_c100.txt 59.259 49.298 59.171
test1_unlab_g0.1_k10_p2_r100_c1000.txt 59.259 49.298 59.171
test1_unlab_g0.1_k10_p2_r100_c10000.txt 59.259 49.298 59.171
test1_unlab_g0.1_k10_p2_r100_c100000.txt 59.259 49.298 59.171
test1_unlab_g0.1_k100_p2_r100_c1.txt 31.019 15.157 29.869
test1_unlab_g0.1_k100_p2_r100_c10.txt 56.019 29.388 49.539
test1_unlab_g0.1_k100_p2_r100_c100.txt 56.019 29.388 49.539
test1_unlab_g0.1_k100_p2_r100_c1000.txt 56.019 29.388 49.539
test1_unlab_g0.1_k100_p2_r100_c10000.txt 56.019 29.388 49.539
test1_unlab_g0.1_k100_p2_r100_c100000.txt 56.019 29.388 49.539
test1_unlab_g1_k0.1_p2_r100_c1.txt 8.241 4.332 2.464
test1_unlab_g1_k0.1_p2_r100_c10.txt 8.241 4.332 2.464
test1_unlab_g1_k0.1_p2_r100_c100.txt 8.241 4.332 2.464
test1_unlab_g1_k0.1_p2_r100_c1000.txt 40.278 9.571 23.130
test1_unlab_g1_k0.1_p2_r100_c10000.txt 40.278 9.571 23.130
test1_unlab_g1_k0.1_p2_r100_c100000.txt 40.278 9.571 23.130
test1_unlab_g1_k1_p2_r100_c1.txt 10.278 11.494 7.435
test1_unlab_g1_k1_p2_r100_c10.txt 10.278 11.494 7.435
test1_unlab_g1_k1_p2_r100_c100.txt 10.278 11.494 7.435
test1_unlab_g1_k1_p2_r100_c1000.txt 10.278 10.454 6.757
test1_unlab_g1_k1_p2_r100_c10000.txt 10.278 10.454 6.757
test1_unlab_g1_k1_p2_r100_c100000.txt 10.278 10.454 6.757
test1_unlab_g1_k10_p2_r100_c1.txt 8.889 10.260 6.599
test1_unlab_g1_k10_p2_r100_c10.txt 8.889 10.304 6.621
test1_unlab_g1_k10_p2_r100_c100.txt 44.815 28.162 41.553
test1_unlab_g1_k10_p2_r100_c1000.txt 44.444 27.179 41.117
test1_unlab_g1_k10_p2_r100_c10000.txt 44.444 27.179 41.117
test1_unlab_g1_k10_p2_r100_c100000.txt 44.444 27.179 41.117
test1_unlab_g1_k100_p2_r100_c1.txt 10.833 3.258 2.118
test1_unlab_g1_k100_p2_r100_c10.txt 10.833 3.258 2.118
test1_unlab_g1_k100_p2_r100_c100.txt 10.833 3.258 2.118
test1_unlab_g1_k100_p2_r100_c1000.txt 10.833 3.258 2.118
test1_unlab_g1_k100_p2_r100_c10000.txt 10.833 3.258 2.118
test1_unlab_g1_k100_p2_r100_c100000.txt 10.833 3.258 2.118
test1_unlab_g10_k0.1_p2_r100_c1.txt 8.333 2.564 1.282
test1_unlab_g10_k0.1_p2_r100_c10.txt 8.333 2.564 1.282
test1_unlab_g10_k0.1_p2_r100_c100.txt 8.333 2.564 1.282
test1_unlab_g10_k0.1_p2_r100_c1000.txt 40.278 9.571 23.130
test1_unlab_g10_k0.1_p2_r100_c10000.txt 40.278 9.571 23.130
test1_unlab_g10_k0.1_p2_r100_c100000.txt 40.278 9.571 23.130
test1_unlab_g10_k1_p2_r100_c1.txt 10.185 11.391 7.334
test1_unlab_g10_k1_p2_r100_c10.txt 10.185 11.391 7.334
test1_unlab_g10_k1_p2_r100_c100.txt 10.185 11.391 7.334
test1_unlab_g10_k1_p2_r100_c1000.txt 9.537 9.840 6.353
test1_unlab_g10_k1_p2_r100_c10000.txt 9.537 9.840 6.353
test1_unlab_g10_k1_p2_r100_c100000.txt 9.537 9.840 6.353
test1_unlab_g10_k10_p2_r100_c1.txt 9.537 10.903 7.052
test1_unlab_g10_k10_p2_r100_c10.txt 20.556 19.673 23.329
test1_unlab_g10_k10_p2_r100_c100.txt 49.074 30.040 45.299
test1_unlab_g10_k10_p2_r100_c1000.txt 47.407 27.476 43.900
test1_unlab_g10_k10_p2_r100_c10000.txt 47.407 27.476 43.900
test1_unlab_g10_k10_p2_r100_c100000.txt 47.407 27.476 43.900
test1_unlab_g10_k100_p2_r100_c1.txt 10.833 3.258 2.118
test1_unlab_g10_k100_p2_r100_c10.txt 10.833 3.258 2.118
test1_unlab_g10_k100_p2_r100_c100.txt 10.833 3.258 2.118
test1_unlab_g10_k100_p2_r100_c1000.txt 10.833 3.258 2.118
test1_unlab_g10_k100_p2_r100_c10000.txt 10.833 3.258 2.118
test1_unlab_g10_k100_p2_r100_c100000.txt 10.833 3.258 2.118
summary max_miF_frame max_maF_frame max_maF_weiFrame 
 hi 62.778 56.869 65.188
