file miF_frames maF_frames weighted_maF_frames 
test1_unlab_g1_k100_p2_r100_c100.txt 28.545 16.480 27.551
test1_unlab_g1_k100_p2_r100_c1000.txt 28.545 16.480 27.551
test1_unlab_g1_k100_p2_r100_c10000.txt 28.545 16.480 27.551
test1_unlab_g1_k100_p2_r100_c100000.txt 28.545 16.480 27.551
test1_unlab_g10_k0.1_p2_r100_c1.txt 9.881 2.998 1.777
test1_unlab_g10_k0.1_p2_r100_c10.txt 9.881 2.998 1.777
test1_unlab_g10_k0.1_p2_r100_c100.txt 9.881 2.998 1.777
test1_unlab_g10_k0.1_p2_r100_c1000.txt 35.499 9.894 19.271
test1_unlab_g10_k0.1_p2_r100_c10000.txt 35.499 9.894 19.271
test1_unlab_g10_k0.1_p2_r100_c100000.txt 35.499 9.894 19.271
test1_unlab_g10_k1_p2_r100_c1.txt 11.162 10.518 8.876
test1_unlab_g10_k1_p2_r100_c10.txt 11.162 10.518 8.876
test1_unlab_g10_k1_p2_r100_c100.txt 11.162 10.518 8.876
test1_unlab_g10_k1_p2_r100_c1000.txt 10.430 9.358 7.946
test1_unlab_g10_k1_p2_r100_c10000.txt 10.430 9.358 7.946
test1_unlab_g10_k1_p2_r100_c100000.txt 10.430 9.358 7.946
test1_unlab_g10_k10_p2_r100_c1.txt 13.632 11.798 7.562
test1_unlab_g10_k10_p2_r100_c10.txt 10.430 10.970 6.853
test1_unlab_g10_k10_p2_r100_c100.txt 40.897 36.662 35.635
test1_unlab_g10_k10_p2_r100_c1000.txt 37.603 31.249 32.247
test1_unlab_g10_k10_p2_r100_c10000.txt 37.603 31.249 32.247
test1_unlab_g10_k10_p2_r100_c100000.txt 37.603 31.249 32.247
test1_unlab_g10_k100_p2_r100_c1.txt 40.622 21.829 36.848
test1_unlab_g10_k100_p2_r100_c10.txt 40.622 21.829 36.848
test1_unlab_g10_k100_p2_r100_c100.txt 40.622 21.829 36.848
test1_unlab_g10_k100_p2_r100_c1000.txt 40.622 21.829 36.848
test1_unlab_g10_k100_p2_r100_c10000.txt 40.622 21.829 36.848
test1_unlab_g10_k100_p2_r100_c100000.txt 40.622 21.829 36.848
summary max_miF_frame max_maF_frame max_maF_weiFrame 
 hi 43.092 48.317 48.344
