file miF_frames maF_frames weighted_maF_frames 
test1_unlab_g0.01_k0.1_p2_r100_c1.txt 9.607 5.197 3.912
test1_unlab_g0.01_k0.1_p2_r100_c10.txt 9.607 5.197 3.912
test1_unlab_g0.01_k0.1_p2_r100_c100.txt 9.607 5.197 3.912
test1_unlab_g0.01_k0.1_p2_r100_c1000.txt 37.237 21.801 36.777
test1_unlab_g0.01_k0.1_p2_r100_c10000.txt 41.812 23.136 39.946
test1_unlab_g0.01_k0.1_p2_r100_c100000.txt 41.812 23.136 39.946
test1_unlab_g0.01_k1_p2_r100_c1.txt 11.619 5.798 4.602
test1_unlab_g0.01_k1_p2_r100_c10.txt 11.619 5.798 4.602
test1_unlab_g0.01_k1_p2_r100_c100.txt 14.364 8.600 9.811
test1_unlab_g0.01_k1_p2_r100_c1000.txt 33.577 32.994 35.589
test1_unlab_g0.01_k1_p2_r100_c10000.txt 33.577 32.994 35.589
test1_unlab_g0.01_k1_p2_r100_c100000.txt 33.577 32.994 35.589
test1_unlab_g0.01_k10_p2_r100_c1.txt 12.351 6.279 4.899
test1_unlab_g0.01_k10_p2_r100_c10.txt 12.351 6.279 4.899
test1_unlab_g0.01_k10_p2_r100_c100.txt 43.092 48.317 48.344
test1_unlab_g0.01_k10_p2_r100_c1000.txt 43.092 48.317 48.344
test1_unlab_g0.01_k10_p2_r100_c10000.txt 43.092 48.317 48.344
test1_unlab_g0.01_k10_p2_r100_c100000.txt 43.092 48.317 48.344
test1_unlab_g0.01_k100_p2_r100_c1.txt 9.698 2.947 1.747
test1_unlab_g0.01_k100_p2_r100_c10.txt 22.232 12.685 20.003
test1_unlab_g0.01_k100_p2_r100_c100.txt 31.839 23.013 36.909
test1_unlab_g0.01_k100_p2_r100_c1000.txt 31.839 23.013 36.909
test1_unlab_g0.01_k100_p2_r100_c10000.txt 31.839 23.013 36.909
test1_unlab_g0.01_k100_p2_r100_c100000.txt 31.839 23.013 36.909
test1_unlab_g0.1_k0.1_p2_r100_c1.txt 10.887 4.747 3.741
test1_unlab_g0.1_k0.1_p2_r100_c10.txt 10.887 4.747 3.741
test1_unlab_g0.1_k0.1_p2_r100_c100.txt 13.632 7.480 8.890
test1_unlab_g0.1_k0.1_p2_r100_c1000.txt 37.694 31.439 42.204
test1_unlab_g0.1_k0.1_p2_r100_c10000.txt 37.694 31.439 42.204
test1_unlab_g0.1_k0.1_p2_r100_c100000.txt 37.694 31.439 42.204
test1_unlab_g0.1_k1_p2_r100_c1.txt 12.626 6.305 4.882
test1_unlab_g0.1_k1_p2_r100_c10.txt 12.626 6.305 4.882
test1_unlab_g0.1_k1_p2_r100_c100.txt 35.956 37.164 41.016
test1_unlab_g0.1_k1_p2_r100_c1000.txt 36.597 36.725 40.275
test1_unlab_g0.1_k1_p2_r100_c10000.txt 36.597 36.725 40.275
test1_unlab_g0.1_k1_p2_r100_c100000.txt 36.597 36.725 40.275
test1_unlab_g0.1_k10_p2_r100_c1.txt 9.607 3.335 2.054
test1_unlab_g0.1_k10_p2_r100_c10.txt 22.141 13.258 20.410
test1_unlab_g0.1_k10_p2_r100_c100.txt 36.597 36.273 40.520
test1_unlab_g0.1_k10_p2_r100_c1000.txt 36.597 36.273 40.520
test1_unlab_g0.1_k10_p2_r100_c10000.txt 36.597 36.273 40.520
test1_unlab_g0.1_k10_p2_r100_c100000.txt 36.597 36.273 40.520
test1_unlab_g0.1_k100_p2_r100_c1.txt 9.881 2.998 1.777
test1_unlab_g0.1_k100_p2_r100_c10.txt 9.881 3.169 1.879
test1_unlab_g0.1_k100_p2_r100_c100.txt 36.962 16.726 25.020
test1_unlab_g0.1_k100_p2_r100_c1000.txt 41.263 17.921 27.328
test1_unlab_g0.1_k100_p2_r100_c10000.txt 41.263 17.921 27.328
test1_unlab_g0.1_k100_p2_r100_c100000.txt 41.263 17.921 27.328
test1_unlab_g1_k0.1_p2_r100_c1.txt 10.522 5.459 4.357
test1_unlab_g1_k0.1_p2_r100_c10.txt 10.522 5.459 4.357
test1_unlab_g1_k0.1_p2_r100_c100.txt 10.522 5.459 4.357
test1_unlab_g1_k0.1_p2_r100_c1000.txt 25.526 15.252 24.383
test1_unlab_g1_k0.1_p2_r100_c10000.txt 25.526 15.252 24.383
test1_unlab_g1_k0.1_p2_r100_c100000.txt 25.526 15.252 24.383
test1_unlab_g1_k1_p2_r100_c1.txt 11.070 6.678 5.719
test1_unlab_g1_k1_p2_r100_c10.txt 11.070 6.678 5.719
test1_unlab_g1_k1_p2_r100_c100.txt 11.070 6.678 5.719
test1_unlab_g1_k1_p2_r100_c1000.txt 25.435 21.447 26.597
test1_unlab_g1_k1_p2_r100_c10000.txt 25.435 21.447 26.597
test1_unlab_g1_k1_p2_r100_c100000.txt 25.435 21.447 26.597
test1_unlab_g1_k10_p2_r100_c1.txt 14.181 10.563 7.109
test1_unlab_g1_k10_p2_r100_c10.txt 14.181 10.563 7.109
test1_unlab_g1_k10_p2_r100_c100.txt 29.460 29.228 36.737
test1_unlab_g1_k10_p2_r100_c1000.txt 29.643 28.345 36.442
test1_unlab_g1_k10_p2_r100_c10000.txt 29.643 28.345 36.442
test1_unlab_g1_k10_p2_r100_c100000.txt 29.643 28.345 36.442
test1_unlab_g1_k100_p2_r100_c1.txt 28.545 16.480 27.551
test1_unlab_g1_k100_p2_r100_c10.txt 28.545 16.480 27.551
